,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Ios,GR,36.7333,25.2833,76.91,49,48,8.01,scattered clouds
140,Massaranduba,BR,-7.2003,-35.7892,76.59,83,75,10.8,broken clouds
141,Tekeli,KZ,44.83,78.8239,69.15,66,97,3.04,overcast clouds
142,Shkoder,AL,42.0683,19.5126,77.18,52,1,8.12,clear sky
143,Saldanha,ZA,-33.0117,17.9442,59.05,86,51,9.33,broken clouds
144,Ilulissat,GL,69.2167,-51.1,51.82,32,40,11.5,scattered clouds
145,Usinsk,RU,65.9939,57.5281,46.17,65,100,15.95,overcast clouds
146,Gamba,GA,-2.65,10.0,82.09,73,100,10.47,overcast clouds
147,Culfa,AZ,38.9558,45.6308,87.8,18,90,16.11,overcast clouds
148,Parfenyevo,RU,58.484,43.4088,71.26,47,100,8.3,overcast clouds
149,Beja,TN,36.7256,9.1817,86.0,37,75,11.5,broken clouds
150,Chitipa,MW,-9.7024,33.2697,73.62,47,5,7.4,clear sky
151,Waddan,LY,29.1614,16.139,104.13,8,12,6.78,few clouds
152,Quatre Cocos,MU,-20.2078,57.7625,81.09,81,48,8.77,scattered clouds
153,Norden,DE,53.6,7.2,62.94,80,12,13.04,few clouds
154,Sao Felix Do Xingu,BR,-6.6447,-51.995,82.36,54,11,1.9,few clouds
155,Sao Sebastiao,BR,-23.76,-45.4097,78.22,56,50,3.83,scattered clouds
156,San Andres,CO,12.5847,-81.7006,78.82,89,40,10.36,scattered clouds
157,Calvinia,ZA,-31.4707,19.776,55.71,69,93,14.14,overcast clouds
158,Iaciara,BR,-14.0958,-46.6317,85.86,35,4,3.65,clear sky
159,Pisco,PE,-13.7,-76.2167,65.01,88,90,4.61,overcast clouds
160,Nanortalik,GL,60.1432,-45.2371,40.06,77,18,6.06,few clouds
161,Hofn,IS,64.2539,-15.2082,48.22,87,90,18.41,overcast clouds
162,Tabou,CI,4.423,-7.3528,84.97,70,92,8.66,overcast clouds
163,Praia,CV,14.9215,-23.5087,79.34,57,20,25.32,few clouds
164,Sao Francisco,BR,-15.9486,-44.8644,85.86,41,45,7.94,scattered clouds
165,Police,PL,53.5521,14.5718,62.24,48,81,1.99,broken clouds
166,Touros,BR,-5.1989,-35.4608,83.3,61,39,15.19,scattered clouds
167,Bolgatanga,GH,10.7856,-0.8514,101.86,27,97,7.0,overcast clouds
168,Lagoa,PT,39.05,-27.9833,60.01,66,80,9.55,broken clouds
169,Daur,PK,26.4583,68.3192,109.31,14,45,21.97,scattered clouds
170,Sylling,NO,59.8952,10.2792,72.46,27,5,6.98,clear sky
171,Athboy,IE,53.6186,-6.9206,55.69,97,100,5.64,overcast clouds
172,Bonfim,BR,3.0833,-59.95,77.83,82,98,2.82,overcast clouds
173,Matara,LK,5.9485,80.5353,80.37,85,100,14.09,overcast clouds
174,Moa,CU,20.6569,-74.9403,80.69,72,100,9.17,overcast clouds
175,Maceio,BR,-9.6658,-35.7353,81.84,74,75,12.33,broken clouds
176,Mwingi,KE,-0.9344,38.0601,79.36,47,46,9.31,scattered clouds
177,Rawson,AR,-43.3002,-65.1023,46.58,67,100,23.6,overcast clouds
178,Corn Island,NI,12.1694,-83.0418,81.1,77,99,13.06,overcast clouds
179,Dwarka,IN,22.2394,68.9678,84.92,81,5,14.23,clear sky
180,Syracuse,IT,37.0881,15.2792,86.05,63,3,9.22,clear sky
181,Obo,CF,5.3998,26.4869,90.43,44,84,1.19,broken clouds
182,Hornepayne,CA,49.2138,-84.7705,43.68,34,0,5.06,clear sky
183,Kudahuvadhoo,MV,2.6708,72.8944,83.21,75,88,21.14,overcast clouds
184,Torbay,CA,47.6666,-52.7314,48.88,72,75,16.11,broken clouds
185,Imbituba,BR,-28.24,-48.6703,62.49,65,87,12.3,overcast clouds
186,Baherden,TM,38.4362,57.4316,95.05,23,1,7.23,clear sky
187,Muncie,US,40.1934,-85.3864,61.0,88,90,6.91,overcast clouds
188,Gat,IL,31.61,34.7642,86.0,44,0,1.99,clear sky
189,Bridlington,GB,54.0831,-0.1919,64.0,71,96,4.0,overcast clouds
190,Yukamenskoye,RU,57.8865,52.2416,66.85,66,99,6.08,overcast clouds
191,Harer,ET,9.3094,42.1258,74.7,40,62,7.14,broken clouds
192,Nevesinje,BA,43.2586,18.1133,75.2,33,20,21.85,few clouds
193,Jutai,BR,-5.1833,-68.9,82.53,71,87,3.0,overcast clouds
194,Salalah,OM,17.0151,54.0924,89.6,70,20,16.11,few clouds
195,Vilya,RU,55.2456,42.2089,74.08,58,76,7.34,light rain
196,Port Elizabeth,ZA,-33.918,25.5701,75.09,43,0,17.27,clear sky
197,Keffi,NG,8.8486,7.8736,88.18,38,41,3.91,scattered clouds
198,Bengkulu,ID,-3.8004,102.2655,77.94,87,100,2.24,light rain
199,Ostrovnoy,RU,68.0531,39.5131,40.44,67,68,17.65,broken clouds
200,Jackson,US,42.4165,-122.8345,48.2,71,1,5.75,clear sky
