,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
291,Qurbus,TN,77.0,few clouds,36.8167,10.5687,اقامةالمياه المعدنية
293,Ormara,PK,86.25,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
294,Kasungu,MW,77.04,clear sky,-13.0333,33.4833,Mame Motel
295,Porto Walter,BR,78.03,clear sky,-8.2686,-72.7439,Secretaria de saúde
299,Bereda,ES,77.41,scattered clouds,43.2686,-7.5406,Pazo de Verdes
302,Port-Gentil,GA,82.36,broken clouds,-0.7193,8.7815,Fengshui Residence
304,Semnan,IR,87.67,clear sky,35.5729,53.3971,Semnan Tourist Hotel
305,Oltu,TR,79.57,broken clouds,40.5498,42.0013,Oltu Öğretmenevi
307,Fershampenuaz,RU,76.03,clear sky,53.5202,59.8117,Zavod' Na Gumbeyke
309,Itarema,BR,83.98,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
313,Ciudad Bolivar,VE,80.35,overcast clouds,8.1222,-63.5497,Hotel Edi
316,Kavaratti,IN,83.91,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
321,Cururupu,BR,88.79,clear sky,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
322,Mato Verde,BR,84.36,scattered clouds,-15.3972,-42.8664,Quality Hotel
327,Fuerte Olimpo,PY,82.8,overcast clouds,-21.0415,-57.8738,Hospedaje DAMI
328,Colombia,CU,75.92,clear sky,20.9881,-77.4297,Casa Lazara y Pupi
332,Harper,LR,85.21,light rain,4.375,-7.7169,Screensaver
333,Grand-Santi,GF,78.01,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
337,Clearwater,US,82.06,clear sky,27.9659,-82.8001,Shephard's Beach Resort
338,Ambilobe,MG,82.47,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
343,Soyo,AO,86.05,broken clouds,-6.1349,12.3689,Hotel Mpampa
344,Ngora,UG,82.76,overcast clouds,1.4314,33.7772,Traveler's rest guest house
346,Omboue,GA,82.58,overcast clouds,-1.5746,9.2618,Hotel Olako
350,Ilhabela,BR,76.21,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
352,Marrakesh,MA,82.47,broken clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
353,Okrika,NG,88.12,light rain,4.7416,7.0849,ayo mutiaru f
355,Benghazi,LY,78.13,few clouds,32.1167,20.0667,Tibesti Hotel
358,Verkhniy Mamon,RU,78.8,scattered clouds,50.1635,40.3832,Yaroton
359,Luau,AO,83.34,overcast clouds,-10.7073,22.2247,Casa- Bernardo Cândido
360,Bin Qirdan,TN,81.21,clear sky,33.1378,11.2197,Hôtel Palace
361,Mali,GN,78.12,overcast clouds,12.079,-12.2982,Hotel La Dame de Mali
363,Santa Rosa,PH,88.09,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
364,Latnaya,RU,80.49,overcast clouds,51.6586,38.9011,Angel Inn
368,Giyon,ET,78.62,overcast clouds,8.5333,37.9833,Negash Lodge
370,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
371,Shirgaon,IN,87.82,overcast clouds,19.7,72.7,"Samarth Krupa Farm, Palghar"
375,Maroantsetra,MG,76.37,light rain,-15.4333,49.7333,Annexe Vatsy Hôtel
376,Mayumba,GA,81.61,overcast clouds,-3.432,10.6554,LIKWALE LODGE
380,Conde,BR,80.06,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
384,Soverato,IT,78.71,overcast clouds,38.685,16.5499,Hotel San Domenico
386,Melito Di Porto Salvo,IT,76.89,few clouds,37.9222,15.7714,B&B Nereidi
389,Antalaha,MG,78.91,light rain,-14.9003,50.2788,Hotel Vitasoa
390,Cabimas,VE,81.54,overcast clouds,10.3883,-71.4399,Foresgum jejdjdkdkdkdkdkdkdkdkd
393,Buritama,BR,83.35,scattered clouds,-21.0661,-50.1472,Rancho Do Presidente - Buritama - SP
394,Beira,MZ,82.4,few clouds,-19.8436,34.8389,Beira Terrace Hotel
398,Sao Jose Da Coroa Grande,BR,81.32,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
400,Iki-Burul,RU,86.34,broken clouds,45.8208,44.6472,
407,Buchanan,LR,89.56,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
408,Maragogi,BR,81.1,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
409,Riachao Das Neves,BR,81.55,clear sky,-11.7461,-44.91,Casa Costa
414,Areia Branca,BR,86.2,broken clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
416,Beruwala,LK,81.14,overcast clouds,6.4788,79.9828,The Palms Hotel
424,Hambantota,LK,87.8,broken clouds,6.1241,81.1185,Bungalow 63
426,Santa Marta,CO,83.98,overcast clouds,11.2408,-74.199,Casa de Isabella
428,Isabela,PH,80.65,broken clouds,6.7085,121.9711,Isawad Resort
432,Gilgit,PK,82.33,scattered clouds,35.9221,74.3087,Tourist Hamlet Gilgit
437,Prainha,BR,82.78,overcast clouds,-1.8,-53.48,Casa Rocha
443,Marsabit,KE,78.69,broken clouds,2.3284,37.9899,Chicho Hotel
447,Mucuri,BR,79.34,clear sky,-18.0864,-39.5508,La Bodeguita Pousada
449,Candido Mendes,BR,85.46,clear sky,-1.4467,-45.7167,Quebrada Do Mlk PJL
455,Puerto Quijarro,BO,82.96,overcast clouds,-17.7833,-57.7667,Hotel palance
464,Kochi,IN,85.98,scattered clouds,9.9399,76.2602,Hotel Abad
465,Tame,CO,75.88,scattered clouds,6.461,-71.73,Hospedaje Santa Ana
469,Muros,ES,78.67,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
470,Oranjestad,AW,84.0,scattered clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
471,Sao Raimundo Nonato,BR,85.75,broken clouds,-9.0153,-42.6994,Real Hotel
472,Lagunillas,VE,82.08,overcast clouds,10.1301,-71.2595,Casa de Beatriz y Chucho
473,Apastepeque,SV,75.27,overcast clouds,13.6667,-88.7833,Posada Don Pablito
474,Campoverde,PE,76.91,few clouds,-8.4753,-74.8058,Hospedaje Coral's
475,Konya,TR,84.2,scattered clouds,38.1667,32.5,Bahcesaray Koyu Muhtarligi
485,Biscarrosse,FR,87.49,clear sky,44.3945,-1.1672,Saint Hubert
486,Siderno,IT,80.33,overcast clouds,38.2779,16.302,Grand Hotel President
488,Kaputa,ZM,77.11,scattered clouds,-8.4689,29.6619,Chelelwa Charlets
489,Atlantic Beach,US,81.12,few clouds,30.3344,-81.3987,One Ocean Resort & Spa
490,Reidsville,US,76.26,clear sky,36.3549,-79.6645,"Holiday Inn Express & Suites Reidsville, an IHG Hotel"
494,Milove,UA,78.48,scattered clouds,49.3787,40.1302,СТРЕЛЕЦКАЯ СЛОБОДА
496,Santa Cruz Del Sur,CU,79.39,few clouds,20.7147,-77.9956,
501,Melfi,IT,81.5,clear sky,40.9965,15.6514,HOTEL TERME DI RAPOLLA
504,Miguel Calmon,BR,76.14,clear sky,-11.4289,-40.595,Pousada Guiomar
505,Abu Samrah,SY,89.85,clear sky,35.3029,37.1841,
506,Umm Lajj,SA,88.48,clear sky,25.0213,37.2685,Moon light Furnished Units
508,Besskorbnaya,RU,76.82,scattered clouds,44.6447,41.31100000000001,
511,Mbandaka,CD,86.95,overcast clouds,0.0487,18.2603,Guest House Epervier
512,Pitimbu,BR,81.19,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
513,Zvishavane,ZW,79.7,clear sky,-20.3267,30.0665,Hotel Boutique Runde
514,Vila Do Maio,CV,79.59,few clouds,15.1333,-23.2167,Hotel Marilu
515,Salinopolis,BR,82.35,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
516,Camacupa,AO,79.12,clear sky,-12.0167,17.4833,
518,Barahona,DO,81.14,clear sky,18.2085,-71.1008,Hotel Caribe
521,Arinos,BR,84.4,broken clouds,-15.9169,-46.1056,casa do bruno
523,Chingirlau,KZ,82.58,overcast clouds,51.095,54.0814,
527,Mookane,BW,78.46,clear sky,-23.688000000000002,26.6595,
528,Aras,ES,77.41,clear sky,42.5617,-2.356,Jardines de Viana Spa
531,Jacmel,HT,76.84,few clouds,18.2342,-72.5347,Hotel Florita
532,Jibuti,DJ,87.22,clear sky,11.5,42.5,Orchid Main Camp Goubet
533,Taperoa,BR,79.41,overcast clouds,-7.2075,-36.8267,Construir material de construção
534,Totskoye,RU,82.96,broken clouds,52.5248,52.7623,Gostinitsa
535,Kamenka,RU,75.69,broken clouds,51.3223,42.7678,
537,Eyl,SO,84.45,overcast clouds,7.9803,49.8164,Amiin Hotel
538,Sambava,MG,79.7,clear sky,-14.2667,50.1667,Melrose
541,Manicore,BR,83.44,overcast clouds,-5.8092,-61.3003,Hotel Durval
542,Mutuipe,BR,79.34,scattered clouds,-13.2286,-39.5047,Hotel Portal do Vale LTDA
543,Saint-Pierre,RE,78.44,clear sky,-21.3393,55.4781,Lindsey Hôtel
545,Marsh Harbour,BS,76.89,broken clouds,26.5412,-77.0636,Abaco Beach Resort
548,Osinki,RU,80.33,overcast clouds,52.8432,49.5132,
549,Ambanja,MG,85.93,clear sky,-13.6833,48.45,Hotel Salama and Fast Food
550,Anuradhapura,LK,80.96,scattered clouds,8.3565,80.4173,Nilketha Villa Eco Hotel
552,Chepareria,KE,75.38,light rain,1.3077,35.2039,Hamza Lodge
555,Coari,BR,81.28,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
558,Tucupita,VE,79.07,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
561,Uige,AO,87.82,few clouds,-7.6087,15.0613,Hotel Catraio
565,Sao Raimundo Das Mangabeiras,BR,84.7,broken clouds,-7.0219,-45.4811,Hotel Tropical
566,Acarau,BR,83.55,clear sky,-2.8856,-40.12,castelo pizzaria
567,Sao Miguel Do Araguaia,BR,83.7,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
568,Bafilo,TG,87.87,scattered clouds,9.35,1.2667,Hôtel Assoli
569,Ravar,IR,89.94,clear sky,31.2656,56.8055,computertik
571,Mana,GF,78.64,overcast clouds,5.6592,-53.7767,LE SAMANA
573,Mitu,CO,78.31,scattered clouds,1.1983,-70.1733,
574,Ritchie,ZA,76.21,clear sky,-29.038,24.6028,Riverside County Club Modderrivier
578,Tiznit,MA,79.74,overcast clouds,29.5833,-9.5,
582,Oussouye,SN,89.78,clear sky,12.485,-16.5469,Auberge du Routard
584,Uvinza,TZ,81.63,overcast clouds,-5.1036,30.3911,
585,Inirida,CO,78.6,scattered clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
586,Banda Aceh,ID,79.68,light rain,5.5577,95.3222,Sulthan Hotel International
592,Monrovia,LR,89.37,scattered clouds,6.3005,-10.7969,Sunset Inn
594,Itacare,BR,76.89,few clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
599,Carupano,VE,80.17,few clouds,10.6678,-63.2585,Hotel La dorada
602,Mahanoro,MG,75.22,clear sky,-19.9,48.8,BUNGALOW MAHAMANINA
603,Yashkul,RU,81.5,broken clouds,46.1711,45.3435,Bon Voyazh
607,Arcachon,FR,86.41,clear sky,44.5875,-1.0519,Hôtel All Suites Le Teich
608,Vieques,PR,84.0,few clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
609,Laje,BR,78.1,clear sky,-10.1833,-40.9667,Pousada Centro
610,Mamallapuram,IN,89.06,broken clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
617,Wajir,KE,87.76,scattered clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
619,Conceicao Da Barra,BR,82.65,scattered clouds,-18.5933,-39.7322,Cricaré Praia Hotel
621,Lar,IN,76.86,overcast clouds,26.2039,83.9717,Ovaiskarni ward Lar
625,Aripuana,BR,81.46,broken clouds,-9.1667,-60.6333,
626,Bekhtery,UA,84.63,overcast clouds,46.251000000000005,32.2927,
627,Alta Floresta,BR,77.74,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
